Language,# unique BCTs,black,white,red,yellow,blue,green,brown,#FF9999,orange,gray,purple,#87CEFA,#00008B,#FFB6C1,#8B0000,#FF9933,#B86E25,#60311B,#CCFFCC,#197419,#CCCCCC,#4D4D4D,#B366B3,#4D004D,teal
Ashaninka,6,poʦitari,kitamarori,poʦonaitaki,kiteriri,kisari,kenaši,,,,,,,,,,,,,,,,,,,
Aukan,6,baaka,weti,lebi,donu,baaw,guun,,,,,,,,,,,,,,,,,,,
Balti,6,nākpo,kārpo,mārpo,serpo,khnam-raŋ,sŋonpo,,,,,,,,,,,,,,,,,,,
Bokar,6,याका,यापुङ्,यालि॔नाग,नगे,दजे,जाय,,,,,,,,,,,,,,,,,,,
Caló,6,gallardó,plasnó,lolo,batacolé,julé,bardorí,,,,,,,,,,,,,,,,,,,
Catawba,6,hawókči,táːkče,səka,wuyantkare,wu,wayani,,,,,,,,,,,,,,,,,,,
Cayuvava,6,ɲataha,paboreha,tɨrɨrɨ,darutæ,yaβodahæ,iβere,,,,,,,,,,,,,,,,,,,
Chipaya,6,c̄oḳ,čiwi,lxok,kˀilʸu,larama,čˀoxɲa,,,,,,,,,,,,,,,,,,,
Chuvash,6,xura,šură,xĕrlĕ,sară,kăvak,simĕs,,,,,,,,,,,,,,,,,,,
Cora Nayar,6,súˀumuaraˀa,kuaina,tɯpaˀu,taúmua,kuatúmua,ħamuámua,,,,,,,,,,,,,,,,,,,
Creole,6,noi,blanc,rouge,jòne,blé,vett,,,,,,,,,,,,,,,,,,,
Dzoratâi,6,nâi,blyan,rodze,zauno,blyû,vè,,,,,,,,,,,,,,,,,,,
Erza Mordvin,6,r̃aužo,ašo,yaksʸtʸer̃ʸe,ožo,senʸ,piže,,,,,,,,,,,,,,,,,,,
Gilaki,6,siya,səfid,sorx,zərd,arši,sebz,,,,,,,,,,,,,,,,,,,
Itonama,6,kawolo,rapɨhna,i-dahke,o-were,wanili,kabalaʔi,,,,,,,,,,,,,,,,,,,
Itza’,6,boš,sək,čək,ḳən,yaʔaš,ḳiḳ,,,,,,,,,,,,,,,,,,,
Karipuna,6,nég,blã,huj,jón,ble,viat,,,,,,,,,,,,,,,,,,,
Kharia,6,karhaini,oselḍaˀ,"gola, joŋgor","lila, piyar","lil, nila",hariyar,,,,,,,,,,,,,,,,,,,
Kiribati,6,roroo,mainaina,uraura,babooboo,mawaawa,kiriin,,,,,,,,,,,,,,,,,,,
Komi,6,sʸöd,edžɩd,gör̃d,kolʸkviž,löz,vež,,,,,,,,,,,,,,,,,,,
Kpelle,6,tɛi,kole,kpɔlu,kpeleŋ,mu-tɛi-ɛɛ,laa-ŋunu,,,,,,,,,,,,,,,,,,,
Kunza,6,atchi,tarar,lari,ckaala,selti,ckaari,,,,,,,,,,,,,,,,,,,
Kurdish,6,yê reş,yê sipî,yê sor,yê zer,yê şîn,yê kesk,,,,,,,,,,,,,,,,,,,
Luangiua,6,uliʔuli,maʔiŋi,mea,helo,pala,kea,,,,,,,,,,,,,,,,,,,
Maia,6,gigir,usua,kedat,aligam,maribuka,koborum,,,,,,,,,,,,,,,,,,,
Malagasy,6,mainty,fotsy,mena,vonivony,manga,maitso,,,,,,,,,,,,,,,,,,,
Mam,6,q’eq’,sak,kyaq,sak q’ent,xew,cha’x,,,,,,,,,,,,,,,,,,,
Manado,6,svartine,hvetine,kirmine,sardine,azurine,yerkine,,,,,,,,,,,,,,,,,,,
Manchu,6,sahaliyan,šaŋǧan,fulǧan,hūwaŋ,kūke,ñovanɣan,,,,,,,,,,,,,,,,,,,
Mandinka,6,fiŋ,koy,wuleeta,netemunku,buluu,jambakere,,,,,,,,,,,,,,,,,,,
Mansi,6,semil,woykan,kelp,wosʸr̃am,etar̃xar̃ʸi,nʸar̃pumospa,,,,,,,,,,,,,,,,,,,
Mapudungun,6,korɨ,liɣ,kelɨ,čoθ,kalʸfɨ,karɨ,,,,,,,,,,,,,,,,,,,
Mari,6,šem,oš,joškár,nə́rɪnče,"kánde, örzá","sə́wɪn, užár",,,,,,,,,,,,,,,,,,,
Mende,6,tle,aku aku,nalo,aflornivi,apmarjere,sembe,,,,,,,,,,,,,,,,,,,
Micmac,6,maqtewék,wapék,mekwék,wisawék,ewnék,stoqonamúk,,,,,,,,,,,,,,,,,,,
Miskito,6,siksa,pihnka,pauni,lalahni,sangni,kurra,,,,,,,,,,,,,,,,,,,
Mocoví,6,n-aweʔ,y-alagaḳ,tok,ḳoɲi,l-kolaḳ,r-adala,,,,,,,,,,,,,,,,,,,
Mohawk,6,kahòntsi,kenraken,onekwenhtara,otsinekwar,orònya,ohonte,,,,,,,,,,,,,,,,,,,
Mokilese,6,soal,korohro,wahssa,roangroang,puluh,krihn,,,,,,,,,,,,,,,,,,,
Morisyen,6,nwar,blan,ruz,zonn,ble,ver,,,,,,,,,,,,,,,,,,,
Mundurukú,6,i-ok,i-rɨt,i-pak-pɨk,i-pekpɨk,i-rem-rɨm,-rem-rɨm,,,,,,,,,,,,,,,,,,,
Nivaclé,6,yakut,klim,yuk,koxi yax,yaka,nipeway-ši,,,,,,,,,,,,,,,,,,,
Nivkh,6,vulvələǵ,ḳonuǵ,paḥla,ĕvrḳvala,təl,ńlajsvalaǵ,,,,,,,,,,,,,,,,,,,
Nomatsig’ga,6,tsitari,kátari,kiraári,kateríri,kisaári,kaniari,,,,,,,,,,,,,,,,,,,
Novial,6,nigri,blanki,redi,gelbi,Asuri,verdi,,,,,,,,,,,,,,,,,,,
Ocaina,6,hɯ’tóːfɯ,furąña,tsíːo,bóːra,moxóːso,hiáː’o,,,,,,,,,,,,,,,,,,,
Ossetic,6,sau,urs,sɪrx,bur,ærwxwɪz,c̣æx,,,,,,,,,,,,,,,,,,,
Palauan,6,bechachás,becheleléu,bekerkárd,bibrúrek,mellemáu,begendelabib,,,,,,,,,,,,,,,,,,,
Papiamentu,6,pretu,blanku,kòrá,"geel, hel",blau,berdè,,,,,,,,,,,,,,,,,,,
Pilagá,6,l-eed-aʁaik,y-apagaḳ,toomaʁadaik,yo-ḳowi,malaʁad-aik,d-adala,,,,,,,,,,,,,,,,,,,
Ponapean,6,toantoal,pwetepwet,weitahta,oaŋoahŋ,mei,pohndihpw,,,,,,,,,,,,,,,,,,,
Potawatomi,6,muktĕ,wapškyak,mĕskwak,wisawa,wičapkwak,eškbak,,,,,,,,,,,,,,,,,,,
Pulaar,6,ɓaleejo,daneejo,boɗeejo,oolo,bulo,haako-,,,,,,,,,,,,,,,,,,,
Rapanui,6,kerekere,teatea,úraúra,para,moana,uri,,,,,,,,,,,,,,,,,,,
Roma(ni),6,kalo,parno,lolo,čuto,modro,seleno,,,,,,,,,,,,,,,,,,,
Rotokas,6,katokato,kaakaavo,turuevira,kese,kuuva,kokovara,,,,,,,,,,,,,,,,,,,
Roviana,6,muho,keoro,ziŋara,meava,balairi,buma,,,,,,,,,,,,,,,,,,,
Saanich,6,nəqʾix̣,pəʾ,nəkʷim,lələč,qʷəyʾəlʾ,nəqʷey,,,,,,,,,,,,,,,,,,,
Salar,6,ɣara,ax,ɣyzil,sary,ɣux,jäšil,,,,,,,,,,,,,,,,,,,
Sardinian,6,niedhu,biancu,arrubiu,grogu,asulu,birdi,,,,,,,,,,,,,,,,,,,
Shimaore,6,ndzilu,ndjeu,nzukundru,dzindzano,bile,veri,,,,,,,,,,,,,,,,,,,
Shipibo,6,čеʂ̌е,hoʂ̌o,hošín,panšín,yankón,šepa,,,,,,,,,,,,,,,,,,,
Shoshoni,6,Duhu-,Dosa-,ai̱ŋabite,čapite,ai̱behibite,buhibite,,,,,,,,,,,,,,,,,,,
Sorbian,6,čorny,běƚy,čerwjeny,žoƚty,módry,zeleny,,,,,,,,,,,,,,,,,,,
Sudovian,6,kirsnas,gailas,varmias,geltainas,gālimbias,zal’jas,,,,,,,,,,,,,,,,,,,
Suena,6,anai,gomu,disa,nozawai,uwiwai,buge,,,,,,,,,,,,,,,,,,,
Tajik,6,sioħ,safed,surx,zard,kabud,sabz,,,,,,,,,,,,,,,,,,,
Talysh,6,sijo,sipi,gɪzɪl,zerd,kavü,havz,,,,,,,,,,,,,,,,,,,
